StoreNumber,Name,PhoneNumber,Street1,Street2,Street3,PostalCode,Longitude,Latitude
10351-99161,Alameda & Broadway- Denver,303-722-1002,381 S Broadway,,,802091522,-104.99,39.71
10261-100356,Franklin & Evans-Denver,303-722-2901,1605 E Evans Ave,,,802104608,-104.97,39.68
74705-96758,Safeway-Denver #2714,303-242-3523,6220 E 14th St,,,802202747,-104.92,39.74
75506-33861,Denver Marriott CC - Lobby,303-297-1300,1701 California Street,,Denver Marriott City Center,802023402,-104.99,39.75
6324-9153,6th & Lincoln,303-831-4996,575 Lincoln St,Suite A,The Shops at 6th and Broadway,802033469,-104.99,39.73
12848-95170,King Soopers-Denver #124,303-320-3100,4600 Leetsdale Dr,,,802461311,-104.93,39.71
78024-107376,The Curtis Hotel Lobby,720-889-4730,1405 Curtis St,,,802022349,-105.0,39.75
2817-86203,Stapleton TC-29th & Quebec,303-322-2477,7304 E. 29th Ave,,,802382699,-104.9,39.76
5425-1281,"18th & Franklin - Denver, CO",(303) 320-5518,1600 E 18th Ave,,,802181202,-104.97,39.74
9193-151286,"King Soopers-Denver, CO #26",303-758-1210,6470 E Hampden Ave,,,802227605,-104.91,39.65
237-230005,3rd and Columbine-Cherry Creek,3033319910,250 Columbine,160,,80206,-104.96,39.72
